ell,auth,enc,trapdoor,test
8,0.0031663656234741213,0.001627969741821289,0.002444744110107422,0.0075211763381958004
9,0.0031538486480712892,0.001776885986328125,0.002741384506225586,0.007553672790527344
10,0.0031987905502319338,0.001892232894897461,0.0029738426208496095,0.007423543930053711
11,0.003150606155395508,0.002081418037414551,0.003310537338256836,0.007439541816711426
12,0.003232717514038086,0.00220334529876709,0.0035309791564941406,0.007491445541381836
13,0.0031976938247680665,0.002324342727661133,0.0037026166915893554,0.007475376129150391
14,0.0033135175704956054,0.002368521690368652,0.00400092601776123,0.007484126091003418
15,0.003198552131652832,0.002505922317504883,0.004510951042175293,0.007247352600097656
16,0.0032025814056396485,0.0027815580368041994,0.004746818542480468,0.0073298454284667965
17,0.0032152891159057616,0.003229212760925293,0.00510094165802002,0.007432126998901367
18,0.0033840179443359376,0.0031318902969360352,0.0051327705383300785,0.007493758201599121
19,0.003210639953613281,0.0031815528869628905,0.005524826049804687,0.007607054710388183
20,0.0033550500869750977,0.0034412145614624023,0.006377291679382324,0.007328200340270996
21,0.0031893014907836913,0.003888106346130371,0.006257557868957519,0.0073615312576293945
22,0.0035972833633422852,0.0037133216857910155,0.0062961578369140625,0.007440614700317383
23,0.0031995296478271483,0.003962230682373047,0.00679786205291748,0.007550525665283203
24,0.003269052505493164,0.004163527488708496,0.007226181030273437,0.00777587890625
25,0.003394198417663574,0.004562926292419433,0.00791776180267334,0.007754611968994141
26,0.003341984748840332,0.004283308982849121,0.008066296577453613,0.007512879371643066
27,0.0033145904541015624,0.004520297050476074,0.007901740074157716,0.007721495628356933
28,0.0033996105194091797,0.0045226097106933595,0.008408641815185547,0.007399344444274902
29,0.0033608436584472655,0.00484614372253418,0.008560085296630859,0.007598567008972168
30,0.003294205665588379,0.00481417179107666,0.009345221519470214,0.007547593116760254
31,0.0035494089126586912,0.005453801155090332,0.009397220611572266,0.007626628875732422
32,0.0034068822860717773,0.005373072624206543,0.009289002418518067,0.00768592357635498
33,0.0034193992614746094,0.0060453653335571286,0.010178971290588378,0.007982373237609863
34,0.0033142566680908203,0.005419301986694336,0.010531401634216309,0.007579779624938965
35,0.0034772157669067383,0.005537176132202148,0.010518527030944825,0.007516622543334961
36,0.003275609016418457,0.006137871742248535,0.009953045845031738,0.007747364044189453
37,0.0033702850341796875,0.005940079689025879,0.011031723022460938,0.007554006576538086
38,0.003404712677001953,0.006109356880187988,0.011077046394348145,0.007515406608581543
39,0.0032872676849365233,0.006113481521606445,0.0112410306930542,0.007433962821960449
40,0.003303265571594238,0.006292080879211426,0.01177198886871338,0.0075998067855834964
41,0.003353452682495117,0.006375527381896973,0.011846709251403808,0.0073118448257446286
42,0.003379487991333008,0.006335616111755371,0.012953758239746094,0.00774073600769043
43,0.0031769514083862306,0.007102417945861817,0.012742114067077637,0.007366037368774414
44,0.003368234634399414,0.00716249942779541,0.012779498100280761,0.0075653076171875
45,0.003432941436767578,0.006856274604797363,0.013508343696594238,0.00766596794128418
46,0.003703880310058594,0.007457876205444336,0.013262772560119629,0.007445693016052246
47,0.003319048881530762,0.007322382926940918,0.013231182098388672,0.0073650598526000975
48,0.003220200538635254,0.007136297225952148,0.014880609512329102,0.0078029632568359375
49,0.0032816171646118165,0.007632398605346679,0.01515505313873291,0.007610726356506348
50,0.003065609931945801,0.00784444808959961,0.014520359039306641,0.007329607009887695
51,0.003147268295288086,0.008155226707458496,0.014771413803100587,0.007490849494934082
52,0.003204631805419922,0.007845449447631835,0.014253592491149903,0.007467389106750488
53,0.003184866905212402,0.007411813735961914,0.014379072189331054,0.007455110549926758
54,0.0031067848205566405,0.008530187606811523,0.015034794807434082,0.007504701614379883
55,0.0032390356063842773,0.00834052562713623,0.015716958045959472,0.007686591148376465
56,0.003276228904724121,0.00873262882232666,0.015413022041320801,0.007497930526733398
57,0.0031229496002197266,0.008926796913146972,0.015982389450073242,0.00724947452545166
58,0.0032856225967407226,0.009145808219909669,0.016742730140686037,0.007650685310363769
59,0.0030916929244995117,0.009057402610778809,0.01703336238861084,0.007325649261474609
60,0.0033258438110351563,0.008920407295227051,0.0168412446975708,0.007413268089294434
61,0.0031218528747558594,0.009292864799499511,0.016660571098327637,0.00730140209197998
62,0.003099870681762695,0.009373188018798828,0.017291808128356935,0.007340097427368164
63,0.0033404350280761717,0.009531116485595703,0.018303871154785156,0.007242417335510254
64,0.0033112049102783205,0.009728717803955077,0.01744251251220703,0.007442951202392578
65,0.0032906532287597656,0.010138702392578126,0.018192481994628907,0.007593107223510742
66,0.0031264305114746095,0.009743356704711914,0.017684221267700195,0.00726628303527832
67,0.003092384338378906,0.010287809371948241,0.018873095512390137,0.007245206832885742
68,0.003143453598022461,0.009899759292602539,0.018277072906494142,0.007346248626708985
69,0.003009510040283203,0.010383939743041993,0.018558311462402343,0.0071433067321777345
70,0.003422975540161133,0.010377931594848632,0.019864773750305174,0.007428908348083496
71,0.0031775951385498045,0.011007380485534669,0.019492721557617186,0.007589483261108398
72,0.0032434701919555665,0.010471010208129882,0.02048935890197754,0.007376360893249512
73,0.003201889991760254,0.010866522789001465,0.020458555221557616,0.0072565793991088865
74,0.003227567672729492,0.011050868034362792,0.020121097564697266,0.007315325736999512
75,0.0030380010604858397,0.011249637603759766,0.020043706893920897,0.007288432121276856
76,0.0030869245529174805,0.011163330078125,0.020094847679138182,0.007232880592346192
77,0.003224897384643555,0.011250877380371093,0.020784497261047363,0.00731363296508789
78,0.0032331228256225588,0.01166379451751709,0.021035075187683105,0.00720524787902832
79,0.003238344192504883,0.011337709426879884,0.020749473571777345,0.007219004631042481
80,0.0030950069427490234,0.011565303802490235,0.021399402618408205,0.007340240478515625
81,0.003110194206237793,0.011844015121459961,0.021673154830932618,0.007260704040527343
82,0.003071236610412598,0.011484146118164062,0.02208561897277832,0.0073550701141357425
83,0.0032833337783813475,0.013161158561706543,0.024797964096069335,0.007878637313842774
84,0.0033256053924560548,0.012922406196594238,0.02376878261566162,0.007455635070800781
85,0.003119349479675293,0.01282641887664795,0.02379910945892334,0.007398438453674316
86,0.003248763084411621,0.012648582458496094,0.02398726940155029,0.0075980424880981445
87,0.0032807111740112303,0.012795186042785645,0.024148178100585938,0.007208824157714844
88,0.003127574920654297,0.012720584869384766,0.023997569084167482,0.007289600372314453
89,0.003188681602478027,0.012648844718933105,0.02347259521484375,0.007059764862060547
90,0.0030811309814453127,0.012201261520385743,0.023224759101867675,0.007289481163024902
91,0.0031431913375854492,0.013166451454162597,0.025003957748413085,0.007358002662658692
92,0.0032517433166503905,0.013272261619567871,0.024933481216430665,0.007256221771240234
93,0.003266644477844238,0.013971090316772461,0.025542783737182616,0.007217955589294433
94,0.003297710418701172,0.01365673542022705,0.02617611885070801,0.0074920654296875
95,0.0033826351165771483,0.014302515983581543,0.02659320831298828,0.007492733001708984
96,0.003171539306640625,0.014383316040039062,0.026935052871704102,0.007406258583068847
97,0.003357076644897461,0.01446845531463623,0.026850581169128418,0.007580375671386719
98,0.0034326553344726563,0.015010833740234375,0.027895593643188478,0.007453489303588867
99,0.0033889532089233397,0.014446306228637695,0.02685370445251465,0.007533740997314453
100,0.003220272064208984,0.015077519416809081,0.027434802055358885,0.007547307014465332
